,Gene_Pair,Min_Score,TCGA_Samples
56271,interaction_ATP1A1_TRRAP,-2.6881000000000004,['TCGA-DF-A2KU-01']
7679,interaction_DICER1_EEF2,-2.6868,['TCGA-DF-A2KU-01']
41982,interaction_CDAN1_RAD21,-2.6862000000000004,['TCGA-B5-A3FC-01']
36391,interaction_EEF2_CCAR1,-2.6849,['TCGA-DF-A2KU-01']
9113,interaction_XPO1_POLE,-2.6845999999999997,['TCGA-A5-A2K5-01']
45668,interaction_MTOR_TRRAP,-2.6837,['TCGA-DF-A2KU-01']
5480,interaction_CTCF_CHD4,-2.6812,['TCGA-DF-A2KU-01']
27818,interaction_CLTC_POLE,-2.6808,['TCGA-DF-A2KU-01']
19295,interaction_POT1_EEF2,-2.6791,['TCGA-DF-A2KU-01']
36585,interaction_EEF2_BRCA2,-2.678,['TCGA-DF-A2KU-01']
5226,interaction_CTCF_POLD1,-2.6744000000000003,['TCGA-DF-A2KU-01']
36575,interaction_EEF2_CAD,-2.6712000000000002,['TCGA-DF-A2KU-01']
5543,interaction_CTCF_LRPPRC,-2.6677999999999997,['TCGA-DF-A2KU-01']
9152,interaction_XPO1_RAD21,-2.6643,['TCGA-AJ-A3EL-01']
40271,interaction_SCAP_TRRAP,-2.6633,['TCGA-DF-A2KU-01']
40181,interaction_SCAP_CDAN1,-2.6607000000000003,['TCGA-B5-A3FC-01']
31825,interaction_GCN1L1_EEF2,-2.6597,['TCGA-DF-A2KU-01']
41865,interaction_CDAN1_DNM2,-2.6582,['TCGA-DF-A2KU-01']
36439,interaction_EEF2_TELO2,-2.6574,['TCGA-A5-A2K5-01']
41915,interaction_CDAN1_CNOT3,-2.6556,['TCGA-DF-A2KU-01']
36405,interaction_EEF2_ZNF407,-2.6550000000000002,['TCGA-DF-A2KU-01']
41945,interaction_CDAN1_ATP1A1,-2.654,['TCGA-DF-A2KU-01']
41875,interaction_CDAN1_MTOR,-2.6496000000000004,['TCGA-DF-A2KU-01']
36468,interaction_EEF2_POLRMT,-2.6496,['TCGA-B5-A3FC-01']
36403,interaction_EEF2_USP7,-2.6458000000000004,['TCGA-06-5416-01']
43751,interaction_DNM2_POLE,-2.6420000000000003,['TCGA-DF-A2KU-01']
52323,interaction_CNOT3_POLE,-2.6394,['TCGA-DF-A2KU-01']
56035,interaction_POLE_ATP1A1,-2.6378000000000004,['TCGA-DF-A2KU-01']
27740,interaction_CLTC_DNM2,-2.6348000000000003,['TCGA-DF-A2KU-01']
36602,interaction_EEF2_SMC6,-2.6345,['TCGA-DF-A2KU-01']
5378,interaction_CTCF_PCF11,-2.6339,['TCGA-DF-A2KU-01']
45665,interaction_MTOR_POLE,-2.6334,['TCGA-DF-A2KU-01']
27790,interaction_CLTC_CNOT3,-2.6322,['TCGA-DF-A2KU-01']
36423,interaction_EEF2_STIL,-2.6318,['TCGA-DF-A2KU-01']
27820,interaction_CLTC_ATP1A1,-2.6306000000000003,['TCGA-DF-A2KU-01']
36461,interaction_EEF2_EP300,-2.6293,['TCGA-DF-A2KU-01']
5473,interaction_CTCF_MED1,-2.6279000000000003,['TCGA-DF-A2KU-01']
56431,interaction_TRRAP_WNK1,-2.6278,['TCGA-DF-A2KU-01']
5268,interaction_CTCF_IARS2,-2.6272,['TCGA-B5-A3FC-01']
22198,interaction_OGDH_EEF2,-2.6266,['TCGA-B5-A3FC-01']
56423,interaction_TRRAP_RAD21,-2.6263,['TCGA-B5-A3FC-01']
27750,interaction_CLTC_MTOR,-2.6262,['TCGA-DF-A2KU-01']
8942,interaction_XPO1_IARS2,-2.6248,['TCGA-A5-A2K5-01']
5523,interaction_CTCF_WDR7,-2.6236,['TCGA-DF-A2KU-01']
9085,interaction_XPO1_CNOT3,-2.6235999999999997,['TCGA-EO-A3B0-01']
9045,interaction_XPO1_MTOR,-2.621,['TCGA-EO-A3B0-01']
56425,interaction_TRRAP_CHD4,-2.6163,['TCGA-DF-A2KU-01']
16899,interaction_MCM6_EEF2,-2.6158,['TCGA-EO-A3B0-01']
36442,interaction_EEF2_SMARCA4,-2.6157,['TCGA-DF-A2KU-01']
12554,interaction_UBR5_EEF2,-2.6144,['TCGA-DF-A2KU-01']
40268,interaction_SCAP_POLE,-2.613,['TCGA-DF-A2KU-01']
36587,interaction_EEF2_POLG,-2.6099,['TCGA-EO-A22U-01']
8126,interaction_POLD1_TRRAP,-2.6095,['TCGA-DF-A2KU-01']
36387,interaction_EEF2_NIPBL,-2.6086,['TCGA-DF-A2KU-01']
27723,interaction_CLTC_SCAP,-2.6058,['TCGA-DF-A2KU-01']
56488,interaction_TRRAP_LRPPRC,-2.6029,['TCGA-DF-A2KU-01']
22766,interaction_USP8_EEF2,-2.6026,['TCGA-2W-A8YY-01']
36589,interaction_EEF2_ZMYND8,-2.6025,['TCGA-DF-A2KU-01']
36428,interaction_EEF2_KDM2A,-2.5993,['TCGA-DF-A2KU-01']
36394,interaction_EEF2_XRN1,-2.5952,['TCGA-DF-A2KU-01']
5222,interaction_CTCF_VPS41,-2.5945,['TCGA-DF-A2KU-01']
9115,interaction_XPO1_ATP1A1,-2.594,['TCGA-EO-A3B0-01']
41990,interaction_CDAN1_WNK1,-2.5937,['TCGA-DF-A2KU-01']
43723,interaction_DNM2_CNOT3,-2.5934,['TCGA-DF-A2KU-01']
21075,interaction_IARS2_CDAN1,-2.5930999999999997,['TCGA-B5-A3FC-01']
5397,interaction_CTCF_BRD4,-2.5926,['TCGA-DF-A2KU-01']
43753,interaction_DNM2_ATP1A1,-2.5918,['TCGA-DF-A2KU-01']
52325,interaction_CNOT3_ATP1A1,-2.5892,['TCGA-DF-A2KU-01']
43683,interaction_DNM2_MTOR,-2.5874,['TCGA-DF-A2KU-01']
40307,interaction_SCAP_RAD21,-2.5857,['TCGA-B5-A3FC-01']
45637,interaction_MTOR_CNOT3,-2.5848000000000004,['TCGA-DF-A2KU-01']
45667,interaction_MTOR_ATP1A1,-2.5832,['TCGA-DF-A2KU-01']
41984,interaction_CDAN1_CHD4,-2.5822000000000003,['TCGA-DF-A2KU-01']
36425,interaction_EEF2_BRCA1,-2.579,['TCGA-DF-A2KU-01']
56080,interaction_POLE_WNK1,-2.5775,['TCGA-DF-A2KU-01']
8036,interaction_POLD1_CDAN1,-2.5754,['TCGA-DF-A2KU-01']
17202,interaction_CASC5_EEF2,-2.5744,['TCGA-DF-A2KU-01']
36433,interaction_EEF2_BARD1,-2.5704000000000002,['TCGA-2W-A8YY-01']
27865,interaction_CLTC_WNK1,-2.5703,['TCGA-DF-A2KU-01']
46948,interaction_PCF11_TRRAP,-2.569,['TCGA-DF-A2KU-01']
42047,interaction_CDAN1_LRPPRC,-2.5688,['TCGA-DF-A2KU-01']
40190,interaction_SCAP_DNM2,-2.567,['TCGA-DF-A2KU-01']
56074,interaction_POLE_CHD4,-2.566,['TCGA-DF-A2KU-01']
40240,interaction_SCAP_CNOT3,-2.5644,['TCGA-DF-A2KU-01']
5260,interaction_CTCF_NCAPD3,-2.564,['TCGA-DF-A2KU-01']
56418,interaction_TRRAP_MED1,-2.563,['TCGA-DF-A2KU-01']
40270,interaction_SCAP_ATP1A1,-2.5628,['TCGA-DF-A2KU-01']
8123,interaction_POLD1_POLE,-2.5592,['TCGA-DF-A2KU-01']
27859,interaction_CLTC_CHD4,-2.5587999999999997,['TCGA-DF-A2KU-01']
56468,interaction_TRRAP_WDR7,-2.5587,['TCGA-DF-A2KU-01']
40200,interaction_SCAP_MTOR,-2.5584,['TCGA-DF-A2KU-01']
9052,interaction_XPO1_PCF11,-2.5579,['TCGA-06-5416-01']
9119,interaction_XPO1_SF3B1,-2.5575,['TCGA-A5-A2K5-01']
5536,interaction_CTCF_IPO9,-2.5568,['TCGA-DF-A2KU-01']
56072,interaction_POLE_RAD21,-2.5545,['TCGA-06-5416-01']
56137,interaction_POLE_LRPPRC,-2.5526,['TCGA-DF-A2KU-01']
7976,interaction_POLD1_CLTC,-2.552,['TCGA-DF-A2KU-01']
5445,interaction_CTCF_SF3B1,-2.5465999999999998,['TCGA-A5-A2K5-01']
13816,interaction_NBAS_EEF2,-2.5460000000000003,['TCGA-DF-A2KU-01']
9154,interaction_XPO1_CHD4,-2.5458999999999996,['TCGA-A5-A2K5-01']
27922,interaction_CLTC_LRPPRC,-2.5454,['TCGA-DF-A2KU-01']
36449,interaction_EEF2_GAK,-2.5448,['TCGA-DF-A2KU-01']
30565,interaction_SLC4A7_EEF2,-2.543,['TCGA-DF-A2KU-01']
52362,interaction_CNOT3_RAD21,-2.5396,['TCGA-2W-A8YY-01']
43790,interaction_DNM2_RAD21,-2.5375,['TCGA-B5-A3FC-01']
46984,interaction_PCF11_RAD21,-2.5351999999999997,['TCGA-06-5416-01']
41882,interaction_CDAN1_PCF11,-2.5349000000000004,['TCGA-DF-A2KU-01']
9217,interaction_XPO1_LRPPRC,-2.534,['TCGA-A5-A2K5-01']
21165,interaction_IARS2_TRRAP,-2.5332,['TCGA-B5-A3FC-01']
36549,interaction_EEF2_NUMA1,-2.5318,['TCGA-DF-A2KU-01']
43798,interaction_DNM2_WNK1,-2.5315000000000003,['TCGA-DF-A2KU-01']
36398,interaction_EEF2_ACTB,-2.531,['TCGA-2W-A8YY-01']
6792,interaction_VPS41_TRRAP,-2.5296000000000003,['TCGA-DF-A2KU-01']
41977,interaction_CDAN1_MED1,-2.5289,['TCGA-DF-A2KU-01']
52370,interaction_CNOT3_WNK1,-2.5289,['TCGA-DF-A2KU-01']
50177,interaction_BRD4_TRRAP,-2.5277000000000003,['TCGA-DF-A2KU-01']
56315,interaction_ATP1A1_WNK1,-2.5273000000000003,['TCGA-DF-A2KU-01']
9197,interaction_XPO1_WDR7,-2.5263999999999998,['TCGA-A5-A2K5-01']
5548,interaction_CTCF_HIRA,-2.5261,['TCGA-DF-A2KU-01']
9160,interaction_XPO1_WNK1,-2.5252,['TCGA-EO-A3B0-01']
42027,interaction_CDAN1_WDR7,-2.5246000000000004,['TCGA-DF-A2KU-01']
27857,interaction_CLTC_RAD21,-2.5244,['TCGA-06-5416-01']
45712,interaction_MTOR_WNK1,-2.5229,['TCGA-DF-A2KU-01']
56307,interaction_ATP1A1_RAD21,-2.5202999999999998,['TCGA-B5-A3FC-01']
36572,interaction_EEF2_VHL,-2.5202,['TCGA-VQ-A8P2-01']
43792,interaction_DNM2_CHD4,-2.52,['TCGA-DF-A2KU-01']
46945,interaction_PCF11_POLE,-2.5187,['TCGA-DF-A2KU-01']
9018,interaction_XPO1_SCAP,-2.5185,['TCGA-IB-7651-01']
21201,interaction_IARS2_RAD21,-2.5181,['TCGA-B5-A3FC-01']
52364,interaction_CNOT3_CHD4,-2.5174000000000003,['TCGA-DF-A2KU-01']
23049,interaction_PALB2_EEF2,-2.5172,['TCGA-DF-A2KU-01']
56309,interaction_ATP1A1_CHD4,-2.5158,['TCGA-DF-A2KU-01']
27757,interaction_CLTC_PCF11,-2.5138,['TCGA-XK-AAIW-01']
8045,interaction_POLD1_DNM2,-2.5132000000000003,['TCGA-DF-A2KU-01']
36566,interaction_EEF2_PDE4DIP,-2.5132000000000003,['TCGA-DF-A2KU-01']
56067,interaction_POLE_MED1,-2.5127,['TCGA-DF-A2KU-01']
45706,interaction_MTOR_CHD4,-2.5114,['TCGA-DF-A2KU-01']
29539,interaction_RICTOR_EEF2,-2.5107,['TCGA-DF-A2KU-01']
8095,interaction_POLD1_CNOT3,-2.5106,['TCGA-DF-A2KU-01']
56765,interaction_SF3B1_RAD21,-2.5092,['TCGA-06-5416-01']
8125,interaction_POLD1_ATP1A1,-2.5090000000000003,['TCGA-DF-A2KU-01']
56117,interaction_POLE_WDR7,-2.5084,['TCGA-DF-A2KU-01']
9035,interaction_XPO1_DNM2,-2.5067000000000004,['TCGA-B5-A3FA-01']
43855,interaction_DNM2_LRPPRC,-2.5065999999999997,['TCGA-DF-A2KU-01']
27852,interaction_CLTC_MED1,-2.5055,['TCGA-DF-A2KU-01']
8055,interaction_POLD1_MTOR,-2.5046,['TCGA-DF-A2KU-01']
52427,interaction_CNOT3_LRPPRC,-2.504,['TCGA-DF-A2KU-01']
40315,interaction_SCAP_WNK1,-2.5025,['TCGA-DF-A2KU-01']
56372,interaction_ATP1A1_LRPPRC,-2.5023999999999997,['TCGA-DF-A2KU-01']
5242,interaction_CTCF_ERCC2,-2.5022,['TCGA-DF-A2KU-01']
27902,interaction_CLTC_WDR7,-2.5012,['TCGA-DF-A2KU-01']
36512,interaction_EEF2_SETD2,-2.5,['TCGA-DF-A2KU-01']
18817,interaction_NCAPD3_TRRAP,-2.4991000000000003,['TCGA-DF-A2KU-01']
46951,interaction_PCF11_SF3B1,-2.4985999999999997,['TCGA-AC-A2B8-01']
45769,interaction_MTOR_LRPPRC,-2.498,['TCGA-DF-A2KU-01']
6702,interaction_VPS41_CDAN1,-2.4955,['TCGA-DF-A2KU-01']
45704,interaction_MTOR_RAD21,-2.4947999999999997,['TCGA-06-5416-01']
41901,interaction_CDAN1_BRD4,-2.4936,['TCGA-DF-A2KU-01']
21067,interaction_IARS2_SCAP,-2.4926,['TCGA-B5-A3FC-01']
56481,interaction_TRRAP_IPO9,-2.4919000000000002,['TCGA-DF-A2KU-01']
40309,interaction_SCAP_CHD4,-2.4909999999999997,['TCGA-DF-A2KU-01']
36434,interaction_EEF2_PTK2,-2.49,['TCGA-06-5416-01']
4304,interaction_BRIP1_EEF2,-2.4874,['TCGA-DF-A2KU-01']
35455,interaction_BRD2_EEF2,-2.4852,['TCGA-DF-A2KU-01']
8028,interaction_POLD1_SCAP,-2.4842,['TCGA-DF-A2KU-01']
5511,interaction_CTCF_NCAPG2,-2.4840999999999998,['TCGA-DF-A2KU-01']
5234,interaction_CTCF_RBBP6,-2.4813,['TCGA-DF-A2KU-01']
36550,interaction_EEF2_SMG7,-2.4809,['TCGA-2W-A8YY-01']
8934,interaction_XPO1_NCAPD3,-2.4801,['TCGA-A5-A2K5-01']
6789,interaction_VPS41_POLE,-2.4793000000000003,['TCGA-DF-A2KU-01']
59994,interaction_RAD21_LRPPRC,-2.4788,['TCGA-B5-A3FC-01']
40372,interaction_SCAP_LRPPRC,-2.4776,['TCGA-DF-A2KU-01']
50174,interaction_BRD4_POLE,-2.4774000000000003,['TCGA-DF-A2KU-01']
6579,interaction_VPS41_XPO1,-2.473,['TCGA-A5-A2K5-01']
43690,interaction_DNM2_PCF11,-2.4727,['TCGA-DF-A2KU-01']
6642,interaction_VPS41_CLTC,-2.4721,['TCGA-DF-A2KU-01']
27776,interaction_CLTC_BRD4,-2.4702,['TCGA-DF-A2KU-01']
46917,interaction_PCF11_CNOT3,-2.4701000000000004,['TCGA-DF-A2KU-01']
46947,interaction_PCF11_ATP1A1,-2.4685,['TCGA-DF-A2KU-01']
41949,interaction_CDAN1_SF3B1,-2.4683,['TCGA-B5-A3FC-01']
36565,interaction_EEF2_APC,-2.4675000000000002,['TCGA-DF-A2KU-01']
43785,interaction_DNM2_MED1,-2.4667000000000003,['TCGA-DF-A2KU-01']
18727,interaction_NCAPD3_CDAN1,-2.465,['TCGA-DF-A2KU-01']
45604,interaction_MTOR_PCF11,-2.4641,['TCGA-DF-A2KU-01']
52357,interaction_CNOT3_MED1,-2.4641,['TCGA-DF-A2KU-01']
59937,interaction_RAD21_WNK1,-2.4640000000000004,['TCGA-B5-A3FC-01']
56302,interaction_ATP1A1_MED1,-2.4625000000000004,['TCGA-DF-A2KU-01']
43835,interaction_DNM2_WDR7,-2.4624,['TCGA-DF-A2KU-01']
36511,interaction_EEF2_DROSHA,-2.4618,['TCGA-DF-A2KU-01']
56493,interaction_TRRAP_HIRA,-2.4612,['TCGA-DF-A2KU-01']
52407,interaction_CNOT3_WDR7,-2.4598000000000004,['TCGA-DF-A2KU-01']
36471,interaction_EEF2_RANBP2,-2.4598,['TCGA-DF-A2KU-01']
21015,interaction_IARS2_CLTC,-2.4587000000000003,['TCGA-A5-A2K5-01']
56352,interaction_ATP1A1_WDR7,-2.4582,['TCGA-DF-A2KU-01']
45699,interaction_MTOR_MED1,-2.4581,['TCGA-DF-A2KU-01']
42040,interaction_CDAN1_IPO9,-2.4577999999999998,['TCGA-DF-A2KU-01']
36529,interaction_EEF2_ADNP,-2.4577,['TCGA-DF-A2KU-01']
36489,interaction_EEF2_MYB,-2.4569,['TCGA-B5-A3FC-01']
36472,interaction_EEF2_PDS5A,-2.4559,['TCGA-DF-A2KU-01']
31072,interaction_CAND1_EEF2,-2.4557,['TCGA-DF-A2KU-01']
60094,interaction_CHD4_WNK1,-2.4555,['TCGA-DF-A2KU-01']
36456,interaction_EEF2_TCOF1,-2.4543,['TCGA-2W-A8YY-01']
45749,interaction_MTOR_WDR7,-2.4538,['TCGA-DF-A2KU-01']
21162,interaction_IARS2_POLE,-2.4532,['TCGA-A5-A2K5-01']
26095,interaction_ARID2_EEF2,-2.4530000000000003,['TCGA-DF-A2KU-01']
36460,interaction_EEF2_ANLN,-2.4529,['TCGA-DF-A2KU-01']
9120,interaction_XPO1_PPP2R1A,-2.452,['TCGA-06-5416-01']
36527,interaction_EEF2_BAP1,-2.4493,['TCGA-06-5416-01']
5467,interaction_CTCF_TRPM7,-2.4489,['TCGA-DF-A2KU-01']
18814,interaction_NCAPD3_POLE,-2.4488000000000003,['TCGA-DF-A2KU-01']
8170,interaction_POLD1_WNK1,-2.4487,['TCGA-DF-A2KU-01']
27893,interaction_CLTC_VHL,-2.4463,['TCGA-XK-AAIW-01']
36533,interaction_EEF2_ERCC4,-2.4461,['TCGA-DF-A2KU-01']
5479,interaction_CTCF_RTTN,-2.4455,['TCGA-DF-A2KU-01']
21084,interaction_IARS2_DNM2,-2.4444,['TCGA-B5-A3FC-01']
40207,interaction_SCAP_PCF11,-2.4436999999999998,['TCGA-DF-A2KU-01']
5510,interaction_CTCF_AARS2,-2.443,['TCGA-B5-A3FC-01']
36411,interaction_EEF2_HECTD1,-2.443,['TCGA-06-5416-01']
36522,interaction_EEF2_DCTN1,-2.4429,['TCGA-DF-A2KU-01']
60598,interaction_WNK1_LRPPRC,-2.4421,['TCGA-DF-A2KU-01']
18667,interaction_NCAPD3_CLTC,-2.4416,['TCGA-DF-A2KU-01']
56130,interaction_POLE_IPO9,-2.4416,['TCGA-DF-A2KU-01']
34509,interaction_ACLY_EEF2,-2.4413,['TCGA-B5-A3FC-01']
59519,interaction_MED1_RAD21,-2.4388,['TCGA-B5-A3FC-01']
40302,interaction_SCAP_MED1,-2.4377,['TCGA-DF-A2KU-01']
13302,interaction_ERCC2_TRRAP,-2.4373,['TCGA-DF-A2KU-01']
8164,interaction_POLD1_CHD4,-2.4372,['TCGA-DF-A2KU-01']
56459,interaction_TRRAP_VHL,-2.4371,['TCGA-XK-AAIW-01']
27915,interaction_CLTC_IPO9,-2.4344,['TCGA-DF-A2KU-01']
33304,interaction_DHX29_EEF2,-2.4344,['TCGA-DF-A2KU-01']
5312,interaction_CTCF_KIF18A,-2.4338,['TCGA-DF-A2KU-01']
40352,interaction_SCAP_WDR7,-2.4334,['TCGA-DF-A2KU-01']
6711,interaction_VPS41_DNM2,-2.4333,['TCGA-DF-A2KU-01']
6004,interaction_KEAP1_EEF2,-2.4329,['TCGA-B5-A3FC-01']
56039,interaction_POLE_SF3B1,-2.4329,['TCGA-06-5416-01']
36393,interaction_EEF2_TSC2,-2.4318,['TCGA-DF-A2KU-01']
43709,interaction_DNM2_BRD4,-2.4314,['TCGA-DF-A2KU-01']
6761,interaction_VPS41_CNOT3,-2.4307,['TCGA-DF-A2KU-01']
60151,interaction_CHD4_LRPPRC,-2.4306,['TCGA-DF-A2KU-01']
56877,interaction_PPP2R1A_RAD21,-2.4292999999999996,['TCGA-06-5416-01']
6791,interaction_VPS41_ATP1A1,-2.4291,['TCGA-DF-A2KU-01']
50146,interaction_BRD4_CNOT3,-2.4288,['TCGA-DF-A2KU-01']
8162,interaction_POLD1_RAD21,-2.4284999999999997,['TCGA-2W-A8YY-01']
59931,interaction_RAD21_CHD4,-2.4279,['TCGA-2W-A8YY-01']
21164,interaction_IARS2_ATP1A1,-2.4272,['TCGA-B5-A3FC-01']
32569,interaction_POLQ_EEF2,-2.4272,['TCGA-DF-A2KU-01']
50176,interaction_BRD4_ATP1A1,-2.4272,['TCGA-DF-A2KU-01']
42052,interaction_CDAN1_HIRA,-2.4271000000000003,['TCGA-DF-A2KU-01']
5266,interaction_CTCF_TPR,-2.4256,['TCGA-DF-A2KU-01']
36478,interaction_EEF2_KNTC1,-2.4248000000000003,['TCGA-DF-A2KU-01']
6721,interaction_VPS41_MTOR,-2.4247,['TCGA-DF-A2KU-01']
5263,interaction_CTCF_ATR,-2.4243,['TCGA-DF-A2KU-01']
5461,interaction_CTCF_UBR4,-2.4239,['TCGA-DF-A2KU-01']
8227,interaction_POLD1_LRPPRC,-2.4238,['TCGA-DF-A2KU-01']
56390,interaction_TRRAP_SF3B1,-2.4234,['TCGA-06-5416-01']
9147,interaction_XPO1_MED1,-2.4232,['TCGA-EO-A3B0-01']
36517,interaction_EEF2_YME1L1,-2.423,['TCGA-B5-A3FC-01']
45623,interaction_MTOR_BRD4,-2.4228,['TCGA-DF-A2KU-01']
9071,interaction_XPO1_BRD4,-2.4223999999999997,['TCGA-EO-A3B0-01']
5460,interaction_CTCF_PTPN23,-2.4217,['TCGA-IB-7651-01']
21134,interaction_IARS2_CNOT3,-2.4201,['TCGA-2W-A8YY-01']
5385,interaction_CTCF_PIK3C3,-2.4194,['TCGA-DF-A2KU-01']
36459,interaction_EEF2_RBM15,-2.4193000000000002,['TCGA-DF-A2KU-01']
56456,interaction_TRRAP_NCAPG2,-2.4192,['TCGA-DF-A2KU-01']
10746,interaction_RBBP6_TRRAP,-2.4164000000000003,['TCGA-DF-A2KU-01']
13502,interaction_ARMC5_EEF2,-2.4156,['TCGA-DF-A2KU-01']
18853,interaction_NCAPD3_RAD21,-2.4145,['TCGA-06-5416-01']
56142,interaction_POLE_HIRA,-2.4109,['TCGA-DF-A2KU-01']
